Symbol,Date,open,high,low,close,adjusted close,volume,dividend amount,Close_diff
META,2024-06-28,499.2,522.8799,494.29,504.22,502.1897,60493720,0.0,9.440000000000055
META,2024-07-05,504.95,540.87,493.17,539.91,537.7359,45427337,0.0,35.68999999999994
META,2024-07-12,542.35,542.81,494.23,498.87,496.8612,70878656,0.0,-41.039999999999964
META,2024-07-19,498.63,506.6799,459.12,476.79,474.8701,89108167,0.0,-22.079999999999984
META,2024-07-26,486.575,495.22,442.65,465.7,463.8248,71591230,0.0,-11.090000000000032
META,2024-08-02,469.88,527.1709,456.7,488.14,486.1744,114143586,0.0,22.439999999999998
META,2024-08-09,451.345,518.34,450.8,517.77,515.6851,92309940,0.0,29.629999999999995
META,2024-08-16,516.86,539.77,509.1,527.42,525.2962,63214275,0.0,9.649999999999977
META,2024-08-23,526.87,544.23,522.76,528.0,525.8739,58279624,0.0,0.5800000000000409
META,2024-08-30,527.6,528.0,512.45,521.31,519.2108,42447764,0.0,-6.690000000000055
META,2024-09-06,519.64,525.49,498.25,500.27,498.2556,44100065,0.0,-21.039999999999964
META,2024-09-13,506.16,527.581,495.6,524.62,522.5075,54044146,0.0,24.350000000000023
META,2024-09-20,524.54,564.5,517.4,561.35,559.6138,69255730,0.5,36.73000000000002
META,2024-09-27,569.5,577.4,554.19,567.36,565.6052,66166129,0.0,6.009999999999991
META,2024-10-04,567.7,596.85,564.8,595.94,594.0968,60371898,0.0,28.58000000000004
META,2024-10-11,598.22,602.95,581.61,589.95,588.1253,45728782,0.0,-5.990000000000009
META,2024-10-18,594.22,600.1,574.03,576.47,574.687,45480023,0.0,-13.480000000000018
META,2024-10-25,576.03,585.0,561.52,573.25,571.477,49487286,0.0,-3.2200000000000273
META,2024-11-01,582.0,601.2,562.56,567.16,565.4058,92950778,0.0,-6.090000000000032
META,2024-11-08,564.1,594.7999,555.1679,589.34,587.5172,64214816,0.0,22.180000000000064
